SolSetIndex;InvestmentID;SET;Alternative ID
0;NewH2grid2;1;1
0;NewH2grid3;2;1
0;GTSgrid1H2;3;1
0;NewH2grid1a;7;1
1;NewH2grid2;1;1
1;NewH2grid3;2;1
1;GTSgrid1H2;3;1
1;NewH2grid1b;7;1
1;GTSgrid2H2;8;1
2;NewH2grid2;1;1
2;NewH2grid3;2;1
2;GTSgrid1H2;3;1
2;GTSgrid2H2;4;1
2;GTSgrid3H2;5;1
2;NewH2grid1c;7;1
3;NewH2grid2;1;1
3;NewH2grid3;2;1
3;GTSgrid1H2;3;1
3;NewH2grid1d;7;1
4;NewH2grid2;1;1
4;NewH2grid3;2;1
4;GTSgrid1H2;3;1
4;NewH2grid1a;7;1
4;NewH2grid1b;7;1
5;NewH2grid2;1;1
5;NewH2grid3;2;1
5;GTSgrid1H2;3;1
5;NewH2grid1a;7;1
5;NewH2grid1c;7;1
5;NewH2grid1a;8;1
5;GTSgrid3H2;8;1
5;NewH2grid1a;9;1
5;GTSgrid3proactH2;9;1
5;NewH2grid1a;4;1
5;GTSgrid2H2;4;1
6;NewH2grid2;1;1
6;NewH2grid3;2;1
6;GTSgrid1H2;3;1
6;NewH2grid1a;7;1
6;NewH2grid1d;7;1
6;NewH2grid1a;8;1
6;GTSgrid2H2;8;1
6;NewH2grid1d;8;1
6;NewH2grid1a;9;
6;GTSgrid3H2;9;
6;NewH2grid1b;9;
6;NewH2grid1d;9;
6;NewH2grid1a;4;
6;NewH2grid1b;4;
6;GTSgrid3proactH2;4;
6;NewH2grid1d;4;
7;NewH2grid2;1;1
7;NewH2grid3;2;1
7;GTSgrid1H2;3;1
7;NewH2grid1b;7;1
7;NewH2grid1c;7;1
7;GTSgrid2H2;8;1
7;NewH2grid1b;9;1
7;GTSgrid3H2;9;1
7;NewH2grid1b;10;1
7;GTSgrid3proactH2;10;1
8;NewH2grid2;1;1
8;NewH2grid3;2;1
8;GTSgrid1H2;3;1
8;NewH2grid1b;7;1
8;NewH2grid1d;7;1
8;GTSgrid2H2;4;1
8;NewH2grid1d;4;1
9;NewH2grid2;1;1
9;NewH2grid3;2;1
9;GTSgrid1H2;3;1
9;NewH2grid1c;7;1
9;NewH2grid1d;7;1
9;GTSgrid3H2;8;1
9;NewH2grid1d;8;1
9;GTSgrid3proactH2;9;1
9;NewH2grid1d;9;1
9;GTSgrid2H2;4;1
9;NewH2grid1d;4;1
10;NewH2grid2;1;1
10;NewH2grid3;2;1
10;GTSgrid1H2;3;1
10;NewH2grid1a;7;1
10;NewH2grid1b;7;1
10;NewH2grid1c;7;1
10;NewH2grid1a;8;1
10;GTSgrid2H2;8;1
10;NewH2grid1a;9;1
10;NewH2grid1b;9;1
10;GTSgrid3H2;9;1
10;NewH2grid1a;10;1
10;NewH2grid1b;10;1
10;GTSgrid3proactH2;10;1
11;NewH2grid2;1;1
11;NewH2grid3;2;1
11;GTSgrid1H2;3;1
11;NewH2grid1b;7;1
11;NewH2grid1c;7;1
11;NewH2grid1d;7;1
11;GTSgrid2H2;8;1
11;NewH2grid1d;8;1
11;NewH2grid1b;9;1
11;GTSgrid3H2;9;1
11;NewH2grid1d;9;1
11;NewH2grid1b;10;1
11;GTSgrid3proactH2;10;1
11;NewH2grid1d;10;1
12;NewH2grid2;1;1
12;NewH2grid3;2;1
12;GTSgrid1H2;3;1
12;NewH2grid1a;7;1
12;NewH2grid1b;7;1
12;NewH2grid1d;7;1
12;NewH2grid1a;8;1
12;GTSgrid2H2;8;1
12;NewH2grid1d;8;1
13;NewH2grid2;1;1
13;NewH2grid3;2;1
13;GTSgrid1H2;3;1
13;NewH2grid1a;7;1
13;NewH2grid1c;7;1
13;NewH2grid1d;7;1
13;NewH2grid1a;8;1
13;GTSgrid3H2;8;1
13;NewH2grid1d;8;1
13;NewH2grid1a;9;1
13;GTSgrid3proactH2;9;1
13;NewH2grid1d;9;1
13;NewH2grid1a;4;1
13;GTSgrid2H2;4;1
13;NewH2grid1d;4;1
14;NewH2grid2;1;1
14;NewH2grid3;2;1
14;GTSgrid1H2;3;1
14;NewH2grid1a;4;1
14;GTSgrid2H2;4;1
14;NewH2grid1d;4;1
14;NewH2grid1a;5;1
14;NewH2grid1b;5;1
14;GTSgrid3H2;5;1
14;NewH2grid1d;5;1
14;NewH2grid1a;6;1
14;NewH2grid1b;6;1
14;GTSgrid3proactH2;6;1
14;NewH2grid1d;6;1