"Boiler","Hybrid","Electricity"
"Boiler","Hybrid","HybridH2"
"Boiler","HybridH2"
"Boiler","H2"
"Boiler","Electricity"
"Furnace","Hybrid","Electricity"
"Furnace","Hybrid","HybridH2"
"Furnace","HybridH2"
"Furnace","H2"
"Furnace","Electricity"
"Cogen","Hybrid","Electricity"
"Cogen","Hybrid","HybridH2"
"Cogen","HybridH2"
"Cogen","H2"
"SMR","SMR_CCS","Electrolysis_H2O"
"SMR","SMR_CCS"
"Powergen_baseload","Biomass"
"Powergen_baseloadindust","H2"
"Powergen_flexible","H2"
"SyntheticFuelPlant","SyntheticFuelPlant"
"Wind","Wind"
"H2","H2"
"GasBuildEnvironment","GasBuildEnvironment"